block,treat,plant,dist,up_down,slope,d15,precN,precC,C/N,dist2
9,T,Lichen,0.5,down,10,544,0.3163,42.2082,133.4298,2
10,T,Lichen,0.5,down,15,31,0.3114,42.2484,135.6554,2
11,T,Lichen,0.5,down,11,233,0.3565,43.2049,121.1793,2
12,T,Lichen,0.5,down,11,NA,NA,NA,NA,2
13,T,Lichen,0.5,down,10,333,0.3487,42.5657,122.0793,2
14,T,Lichen,0.5,down,6,NA,NA,NA,NA,2
15,T,Lichen,0.5,down,1,NA,NA,NA,NA,2
16,T,Lichen,0.5,down,4,NA,NA,NA,NA,2
17,T,Lichen,0.5,down,10,19,0.3983,42.6569,107.101,2
18,T,Lichen,0.5,down,8,38,0.3192,42.014,131.612,2
19,T,Lichen,0.5,down,25,30,0.2534,42.7739,168.7738,2
20,T,Lichen,0.5,down,11,16,0.3131,42.9675,137.2447,2
1,T,Kalmia,0.5,up,13,NA,NA,NA,NA,2
2,T,Kalmia,0.5,up,25,209,1.2134,51.4326,42.3868,2
3,T,Kalmia,0.5,up,18,6,0.7403,51.0095,68.9066,2
4,T,Kalmia,0.5,up,6,-2,1.1604,50.0592,43.1411,2
5,T,Kalmia,0.5,up,4,8,1.1471,49.3028,42.9787,2
6,T,Kalmia,0.5,up,8,479,0.9893,54.1963,54.7803,2
7,T,Kalmia,0.5,up,4,71,1.1665,51.4596,44.1163,2
8,T,Kalmia,0.5,up,9,25,1.1049,52.3156,47.348,2
9,T,Kalmia,0.5,up,10,618,1.7106,51.9688,30.3797,2
10,T,Kalmia,0.5,up,15,123,1.2551,52.0486,41.4692,2
11,T,Kalmia,0.5,up,11,1064,1.247,49.665,39.8277,2
12,T,Kalmia,0.5,up,11,333,1.1113,51.7894,46.6032,2
13,T,Kalmia,0.5,up,10,174,1.1961,51.673,43.2006,2
14,T,Kalmia,0.5,up,6,89,1.1523,51.9476,45.0829,2
15,T,Kalmia,0.5,up,1,-4,1.312,51.5631,39.3005,2
16,T,Kalmia,0.5,up,4,1860,1.1825,51.7975,43.8028,2
17,T,Kalmia,0.5,up,10,11,1.3343,52.8219,39.5863,2
18,T,Kalmia,0.5,up,8,-5,0.9668,49.8028,51.512,2
19,T,Kalmia,0.5,up,25,93,0.9152,50.6624,55.3558,2
20,T,Kalmia,0.5,up,11,189,0.9252,55.0269,59.4735,2
1,T,Kalmia,0.5,down,13,297,1.1343,52.3866,46.1845,2
2,T,Kalmia,0.5,down,25,11,1.3504,51.7909,38.3531,2
3,T,Kalmia,0.5,down,18,99,0.9441,52.601,55.7152,2
4,T,Kalmia,0.5,down,6,652,1.3656,52.4935,38.44,2
5,T,Kalmia,0.5,down,4,4584,1.0775,47.8961,44.4505,2
6,T,Kalmia,0.5,down,8,118,0.9808,50.1899,51.1742,2
7,T,Kalmia,0.5,down,4,2886,1.2542,50.7689,40.4802,2
8,T,Kalmia,0.5,down,9,266,1.1456,50.9076,44.4358,2
9,T,Kalmia,0.5,down,10,13,1.2106,52.741,43.5673,2
10,T,Kalmia,0.5,down,15,2168,1.1617,50.9201,43.8305,2
11,T,Kalmia,0.5,down,11,5625,1.8681,50.4375,26.9997,2
12,T,Kalmia,0.5,down,11,2694,1.6035,52.0712,32.4739,2
13,T,Kalmia,0.5,down,10,11,1.2742,50.6551,39.755,2
14,T,Kalmia,0.5,down,6,55,1.2597,51.8516,41.1633,2
15,T,Kalmia,0.5,down,1,-4,1.7296,52.8689,30.5664,2
16,T,Kalmia,0.5,down,4,13,1.2444,50.2802,40.4047,2
17,T,Kalmia,0.5,down,10,-9,1.1035,51.4391,46.6143,2
18,T,Kalmia,0.5,down,8,397,1.0674,53.173,49.8136,2
19,T,Kalmia,0.5,down,25,4969,1.0853,53.737,49.5156,2
20,T,Kalmia,0.5,down,11,1612,0.9296,53.1945,57.2209,2
1,T,Lichen,0.75,up,13,18,0.3286,42.8574,130.4094,3
2,T,Lichen,0.75,up,25,NA,NA,NA,NA,3
3,T,Lichen,0.75,up,18,142,0.3054,42.7521,139.973,3
4,T,Lichen,0.75,up,6,NA,NA,NA,NA,3
5,T,Lichen,0.75,up,4,NA,NA,NA,NA,3
6,T,Lichen,0.75,up,8,2,0.2936,40.3706,137.4951,3
7,T,Lichen,0.75,up,4,NA,NA,NA,NA,3
8,T,Lichen,0.75,up,9,-1,0.1843,41.9629,227.6512,3
9,T,Lichen,0.75,up,10,13,0.2024,41.8516,206.8179,3
10,T,Lichen,0.75,up,15,22,0.2803,,0,3
11,T,Lichen,0.75,up,11,NA,NA,NA,NA,3
12,T,Lichen,0.75,up,11,23,0.2881,,0,3
13,T,Lichen,0.75,up,10,13,0.236,,0,3
14,T,Lichen,0.75,up,6,12,0.3204,43.2528,135.0012,3
15,T,Lichen,0.75,up,1,NA,NA,NA,NA,3
16,T,Lichen,0.75,up,4,41,0.288,41.6018,144.4313,3
17,T,Lichen,0.75,up,10,2,0.202,42.6167,210.958,3
18,T,Lichen,0.75,up,8,-4,0.3915,42.8608,109.479,3
19,T,Lichen,0.75,up,25,NA,NA,NA,NA,3
20,T,Lichen,0.75,up,11,3,0.2632,42.6943,162.2278,3
1,T,Lichen,0.75,down,13,NA,NA,NA,NA,3
2,T,Lichen,0.75,down,25,NA,NA,NA,NA,3
3,T,Lichen,0.75,down,18,12,0.3021,42.4699,140.5775,3
4,T,Lichen,0.75,down,6,NA,NA,NA,NA,3
5,T,Lichen,0.75,down,4,15,0.3155,42.6624,135.2345,3
6,T,Lichen,0.75,down,8,42,0.2803,42.2335,150.6757,3
7,T,Lichen,0.75,down,4,-5,0.1921,41.7525,217.3889,3
8,T,Lichen,0.75,down,9,8,0.3343,43.4802,130.0461,3
9,T,Lichen,0.75,down,10,4,0.2394,,0,3
10,T,Lichen,0.75,down,15,7,0.2594,,0,3
11,T,Lichen,0.75,down,11,29,0.28,,0,3
12,T,Lichen,0.75,down,11,NA,NA,NA,NA,3
13,T,Lichen,0.75,down,10,13,0.2063,42.1689,204.452,3
14,T,Lichen,0.75,down,6,NA,NA,NA,NA,3
15,T,Lichen,0.75,down,1,NA,NA,NA,NA,3
16,T,Lichen,0.75,down,4,20,0.3542,42.3406,119.5554,3
17,T,Lichen,0.75,down,10,8,0.4669,43.2056,92.5371,3
